month,facecream,facewash,toothpaste,bathingsoap,shampoo,moisturizer,total_profit
Jan,2500,1500,5200,9200,1200,1500,15000
Feb,2600,1400,5100,9100,1300,1400,16000
Mar,2700,1600,5300,9300,1250,1600,17000
Apr,2800,1700,5400,9400,1350,1700,18000
May,2900,1800,5500,9500,1400,1800,19000
Jun,3000,1900,5600,9600,1450,1900,20000
Jul,3100,2000,5700,9700,1500,2000,21000
Aug,3200,2100,5800,9800,1550,2100,22000
Sep,3300,2200,5900,9900,1600,2200,23000
Oct,3400,2300,6000,10000,1650,2300,24000
Nov,3500,2400,6100,10100,1700,2400,25000
Dec,3600,2500,6200,10200,1750,2500,26000
