title,author,edition,year,publisher,price
Python Basics,John Smith,2,2018,ABC Publications,500
Data Science Handbook,Rahul Sharma,1,2020,XYZ Publications,800
Artificial Intelligence,Amit Verma,3,2019,ABC Publications,650
Machine Learning Guide,John Smith,1,2021,XYZ Publications,900
Java Programming,Robert Brown,2,2017,PQR Publications,450
Web Development Basics,Neha Gupta,1,2022,LMN Publications,550
Database Systems,Karan Mehta,4,2016,PQR Publications,700
Operating Systems,Sneha Patil,3,2018,ABC Publications,600
Computer Networks,Anil Kumar,2,2019,LMN Publications,750
Software Engineering,Rahul Sharma,1,2021,XYZ Publications,850
